Date de l'annonce,Ministre,Lieu,Département,Type,Livraison,Places nettes,Places brutes,Statut,Lien
18/10/2018,Nicole Belloubet,,Val-d'Oise,Maison d'arrêt,2027,600,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Noiseau,Val-de-Marne,Maison d'arrêt,2027,700,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,,Val-de-Marne,Structure d'accompagnement vers la sortie,2022,150,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Toulon,Var,Maison d'arrêt,,200,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,Draguignan,Var,Maison d'arrêt,2022,504,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Toulon,Var,Structure d'accompagnement vers la sortie,2022,180,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,,Var,Maison d'arrêt,2027,600,,confirmé,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Entraigues-sur-la-Sorgue,Vaucluse,Maison d'arrêt,2027,400,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Avignon,Vaucluse,Structure d'accompagnement vers la sortie,2022,120,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Fontenay-le-Comte,Vendée,Maison d'arrêt,,250,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,,Wallis-et-Futuna,Centre pénitentiaire,2022,10,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Poissy,Yvelines,Structure d'accompagnement vers la sortie,2022,60,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Nice,Alpes-Maritimes,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Marseille,Bouches-du-Rhône,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Strasbourg,Bas-Rhin,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Lyon,Rhône,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,,La Réunion,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
