type,etablissement,norme,operationnel,detenus,date,densite,dir_interregionale
qCSL,Lille-Loos-Séquedin (Haubourdin),60,60,26,2019-03-01,43.333333333333336,Lille
qCSL,Longuenesse,50,50,6,2019-03-01,12,Lille
EPM,Quiévrechain,60,59,36,2019-03-01,61.016949152542374,Lille
qCNE,Lille-Loos-Séquedin,33,30,20,2019-03-01,66.66666666666666,Lille
MA,Aurillac,72,72,42,2019-03-01,58.333333333333336,Lyon
MA,Bonneville,187,171,259,2019-03-01,151.46198830409355,Lyon
MA,Chambéry,93,93,129,2019-03-01,138.70967741935485,Lyon
MA,Le-Puy-en-Velay,35,35,44,2019-03-01,125.71428571428571,Lyon
MA,Lyon Corbas,688,688,941,2019-03-01,136.7732558139535,Lyon
MA,Montluçon,22,22,34,2019-03-01,154.54545454545453,Lyon
MA,Privas,57,57,68,2019-03-01,119.29824561403508,Lyon
qMA,Aiton,219,219,304,2019-03-01,138.81278538812785,Lyon
qMA,Bourg-en-Bresse,388,388,425,2019-03-01,109.53608247422682,Lyon
qMA,Grenoble,232,232,356,2019-03-01,153.44827586206898,Lyon
qMA,Moulins Yzeure,136,136,164,2019-03-01,120.58823529411764,Lyon
qMA,Riom,384,384,392,2019-03-01,102.08333333333333,Lyon
qMA,Saint Etienne-la-Talaudière,287,287,352,2019-03-01,122.64808362369337,Lyon
qMA,Saint-Quentin-Fallavier,237,237,351,2019-03-01,148.1012658227848,Lyon
qMA,Valence,344,344,391,2019-03-01,113.66279069767442,Lyon
qMA,Villefranche-sur-Saône,599,599,694,2019-03-01,115.85976627712856,Lyon
CD,Roanne,599,599,545,2019-03-01,90.98497495826378,Lyon
qCD,Aiton,200,200,191,2019-03-01,95.5,Lyon
qCD,Bourg-en-Bresse,300,300,273,2019-03-01,91,Lyon
qCD,Riom,164,164,157,2019-03-01,95.73170731707317,Lyon
qCD,Saint-Quentin-Fallavier,192,192,181,2019-03-01,94.27083333333334,Lyon
qMC,Moulins Yzeure,123,123,114,2019-03-01,92.6829268292683,Lyon
qMC,Valence,128,63,47,2019-03-01,74.60317460317461,Lyon
CSL,Lyon,116,116,66,2019-03-01,56.896551724137936,Lyon
qCSL,Bourg-en-Bresse,40,40,24,2019-03-01,60,Lyon
qCSL,Grenoble,36,36,34,2019-03-01,94.44444444444444,Lyon
qCSL,Riom,20,20,15,2019-03-01,75,Lyon
qCSL,Saint Etienne-la-Talaudière,40,40,24,2019-03-01,60,Lyon
qCSL,Villefranche-sur-Saône,39,39,8,2019-03-01,20.51282051282051,Lyon
EPM,Rhône,60,60,34,2019-03-01,56.666666666666664,Lyon
MA,Ajaccio,53,53,70,2019-03-01,132.0754716981132,Marseille
MA,Digne,35,35,36,2019-03-01,102.85714285714285,Marseille
MA,Draguignan,504,504,559,2019-03-01,110.91269841269842,Marseille
MA,Gap,37,37,36,2019-03-01,97.2972972972973,Marseille
MA,Grasse,574,574,693,2019-03-01,120.73170731707317,Marseille
MA,Nice,363,363,519,2019-03-01,142.97520661157023,Marseille
qMA,Aix-Luynes,1111,1111,1334,2019-03-01,120.07200720072007,Marseille
qMA,Avignon le Pontet,394,394,572,2019-03-01,145.1776649746193,Marseille
qMA,Borgo,183,183,207,2019-03-01,113.11475409836065,Marseille
qMA,Marseille-Les-Baumettes,614,614,888,2019-03-01,144.62540716612378,Marseille
qMA,Toulon-la-Farlède,394,394,518,2019-03-01,131.47208121827413,Marseille
CD,Casabianda,194,194,114,2019-03-01,58.76288659793815,Marseille
CD,Salon-de-Provence,650,650,611,2019-03-01,94,Marseille
CD,Tarascon,651,648,642,2019-03-01,99.07407407407408,Marseille
qCD,Avignon le Pontet,180,180,176,2019-03-01,97.77777777777777,Marseille
qCD,Borgo,48,48,43,2019-03-01,89.58333333333334,Marseille
qCD,Marseille-Les-Baumettes,60,60,52,2019-03-01,86.66666666666667,Marseille
qCD,Toulon-la-Farlède,191,191,190,2019-03-01,99.47643979057592,Marseille
MC,Arles,160,157,138,2019-03-01,87.89808917197452,Marseille
qCPA,Aix-Luynes,82,82,54,2019-03-01,65.85365853658537,Marseille
qCPA,Marseille-Les-Baumettes,24,24,42,2019-03-01,175,Marseille
qCSL,Avignon le Pontet,51,51,42,2019-03-01,82.35294117647058,Marseille
qCSL,Toulon-la-Farlède,41,41,37,2019-03-01,90.2439024390244,Marseille
EPM,Marseille,59,59,60,2019-03-01,101.69491525423729,Marseille
MA,Fleury-Mérogis,2956,2956,4033,2019-03-01,136.4343707713126,Paris
MA,Nanterre,592,592,1051,2019-03-01,177.5337837837838,Paris
MA,Osny-Pontoise,579,579,877,2019-03-01,151.46804835924007,Paris
MA,Versailles,137,137,147,2019-03-01,107.2992700729927,Paris
MA,Villepinte,583,583,1103,2019-03-01,189.19382504288166,Paris
qMA,Bois d'Arcy,503,503,927,2019-03-01,184.29423459244535,Paris
qMA,Fresnes (**),1404,1404,2460,2019-03-01,175.2136752136752,Paris
qMA,Meaux-Chauconin,385,385,779,2019-03-01,202.33766233766235,Paris
qMA,Paris-La-Santé,707,707,372,2019-03-01,52.61669024045261,Paris
CD,Melun,310,308,285,2019-03-01,92.53246753246754,Paris
qCD,Meaux-Chauconin,192,192,184,2019-03-01,95.83333333333334,Paris
